,name,company,year,Price,kms_driven,fuel_type
355,Honda CR-V 2.0L,Honda,2017,1975000,48019,Petrol
356,Hyundai Grand i10,Hyundai,2017,675000,27311,Petrol
357,Mahindra XUV500 W11,Mahindra,2021,2050000,14000,Diesel
358,Hyundai i10 Magna,Hyundai,2009,315000,64640,Petrol
359,Honda City i,Honda,2012,499000,96505,Petrol
360,Toyota Fortuner 2.8,Toyota,2018,3200000,90479,Diesel
361,Hyundai Venue S,Hyundai,2022,965000,3500,Petrol
362,Tata Nexon 1.2,Tata,2018,855000,42374,Petrol
363,Maruti Baleno 1.3,Maruti,2016,710000,45879,Diesel
364,Maruti Ciaz VDi,Maruti,2016,572000,120000,Diesel
365,Hyundai Grand i10,Hyundai,2015,470000,89680,Petrol
366,BMW 3 Series,BMW,2012,1275000,99000,Diesel
367,Maruti Zen VXI,Maruti,1998,110000,90000,Petrol
368,BMW X5 xDrive,BMW,2018,5975000,27000,Diesel
369,Skoda Superb Elegance,Skoda,2015,1465000,79776,Diesel
370,Toyota Land Cruiser,Toyota,2011,5400000,67000,Diesel
371,Skoda Octavia 2.0,Skoda,2017,1475000,108000,Diesel
372,Volkswagen Vento 1.5,Volkswagen,2019,944999,58000,Diesel
373,Skoda Octavia 1.8,Skoda,2018,2275000,32067,Petrol
374,Toyota Innova Crysta,Toyota,2017,1950000,52187,Diesel
375,BMW 5 Series,BMW,2019,5875000,17100,Diesel
376,MG Hector Plus,MG,2021,1939999,9562,Petrol
377,MG Hector Sharp,MG,2019,1810000,36388,Diesel
378,Mercedes-Benz C-Class C,Mercedes-Benz,2011,975000,45000,Diesel
379,Jeep Compass 2.0,Jeep,2019,1775000,36149,Diesel
380,Kia Seltos GTX,Kia,2020,1695000,20155,Petrol
381,MG Hector Sharp,MG,2019,1675000,51904,Petrol
382,Volkswagen Polo GT,Volkswagen,2015,725000,54000,Petrol
383,Kia Seltos GTX,Kia,2019,1565000,31727,Petrol
384,Mahindra XUV500 AT,Mahindra,2017,1445000,73986,Diesel
385,Kia Sonet 1.5,Kia,2021,1425000,7100,Diesel
386,Kia Sonet GTX,Kia,2021,1395000,5397,Petrol
387,BMW X3 xDrive,BMW,2018,4950000,65000,Diesel
388,Hyundai i20 1.4,Hyundai,2017,700000,90000,Diesel
389,Maruti Swift Dzire,Maruti,2013,475000,80000,Petrol
390,Volkswagen Polo GT,Volkswagen,2015,700000,91000,Petrol
391,BMW 7 Series,BMW,2010,2375000,69000,Diesel
392,Toyota Fortuner 4x2,Toyota,2014,1750000,89000,Diesel
393,Hyundai Santa Fe,Hyundai,2013,825000,95254,Diesel
394,Hyundai Creta 1.6,Hyundai,2016,1050000,51000,Petrol
395,Hyundai i10 Sportz,Hyundai,2014,395000,62000,Petrol
396,Tata Hexa XT,Tata,2017,1235000,120000,Diesel
397,Tata Harrier XZA,Tata,2022,2575000,2000,Diesel
398,Volkswagen Polo Cup,Volkswagen,2017,685000,46000,Petrol
399,Maruti Ertiga SHVS,Maruti,2017,944999,65000,Diesel
400,Maruti Alto K10,Maruti,2017,425000,22248,Petrol
401,BMW 5 Series,BMW,2018,4300000,40000,Diesel
402,Honda City i,Honda,2013,575000,73000,Petrol
403,Volkswagen Polo GT,Volkswagen,2021,1145000,54000,Petrol
404,Honda Civic 1.8,Honda,2006,260000,90000,Petrol
405,Jeep Compass Model,Jeep,2021,2725000,15000,Petrol
406,Kia Seltos GTX,Kia,2021,1820000,30000,Diesel
407,Jaguar XF 2.2,Jaguar,2016,2795000,26000,Diesel
408,Mahindra Scorpio SLX,Mahindra,2006,350000,155000,Diesel
409,Mercedes-Benz GLA Class,Mercedes-Benz,2019,3425000,29366,Petrol
410,Volkswagen Polo 1.2,Volkswagen,2016,675000,28211,Petrol
411,Kia Seltos GTX,Kia,2019,1675000,40000,Petrol
